time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050108:2100,7.39,76.7,0.0,-0.0,0.0,254.1,2.48,326.0,101480.0
20050108:2200,6.96,79.55,0.0,-0.0,0.0,254.85,2.28,324.0,101480.0
20050108:2300,6.4,82.55,0.0,-0.0,0.0,255.45,2.07,327.0,101460.0
20050109:0000,5.64,85.65,0.0,-0.0,0.0,256.6,1.86,329.0,101430.0
20050109:0100,5.02,88.85,0.0,-0.0,0.0,257.1,1.79,325.0,101430.0
20050109:0200,4.67,88.85,0.0,-0.0,0.0,257.75,1.79,319.0,101390.0
20050109:0300,4.61,85.55,0.0,-0.0,0.0,258.55,1.79,316.0,101390.0
20050109:0400,4.87,85.55,0.0,-0.0,0.0,258.95,1.66,316.0,101370.0
20050109:0500,5.51,82.4,0.0,-0.0,0.0,259.7,1.45,313.0,101360.0
20050109:0600,6.41,76.55,37.34,0.0,37.34,260.3,1.31,311.0,101390.0
20050109:0700,8.08,76.8,246.2,872.14,64.75,262.05,0.83,329.0,101430.0
20050109:0800,10.03,71.6,380.85,879.4,78.4,265.7,0.48,286.0,101460.0
20050109:0900,12.45,55.65,469.45,871.36,85.55,269.6,0.9,237.0,101450.0
20050109:1000,13.68,55.75,501.3,841.15,87.95,273.45,1.59,224.0,101430.0
20050109:1100,14.42,52.0,473.3,785.96,85.85,276.55,2.0,223.0,101360.0
20050109:1200,14.85,50.25,388.45,695.07,79.05,279.05,2.21,220.0,101340.0
20050109:1300,14.96,50.25,257.1,545.15,65.65,280.05,2.21,219.0,101300.0
20050109:1400,14.69,53.95,103.0,295.16,38.8,280.4,2.07,216.0,101300.0
20050109:1500,13.8,58.0,3.1,0.0,3.1,279.05,1.86,217.0,101310.0
20050109:1600,12.08,69.35,0.0,-0.0,0.0,276.75,1.52,224.0,101330.0
20050109:1700,12.19,62.2,0.0,-0.0,0.0,275.95,1.03,226.0,101350.0
20050109:1800,12.63,59.95,0.0,-0.0,0.0,275.4,0.62,228.0,101370.0
20050109:1900,12.22,62.2,0.0,-0.0,0.0,274.6,0.55,230.0,101350.0
20050109:2000,11.88,66.85,0.0,-0.0,0.0,274.4,0.62,236.0,101330.0
20050109:2100,11.61,69.25,0.0,-0.0,0.0,273.65,0.69,251.0,101310.0
20050109:2200,11.35,69.25,0.0,-0.0,0.0,273.45,0.83,279.0,101280.0
