hour,Load (kW)
469,93.17
470,93.17
471,93.17
472,93.17
473,93.17
474,93.17
475,108.17
476,108.17
477,108.17
478,117.92
479,117.92
480,117.92
481,117.92
482,117.92
483,117.92
484,117.92
485,117.92
486,117.92
487,93.17
488,93.17
489,93.17
490,93.17
491,93.17
492,93.17
493,93.17
494,93.17
495,93.17
496,93.17
497,93.17
498,93.17
499,108.17
500,108.17
501,108.17
502,117.92
503,117.92
504,117.92
505,117.92
506,117.92
507,117.92
508,117.92
509,117.92
510,117.92
511,93.17
512,93.17
513,112.337877875358
514,114.716870604883
515,115.773464793453
516,114.939725695904
517,113.822075143177
518,112.777925837584
519,111.691039517596
520,111.379607551286
521,111.82280068246
522,112.759556527202
523,110.67
524,110.67
525,110.67
526,117.92
527,117.92
528,117.92
529,117.92
530,117.92
531,117.92
532,117.92
533,117.92
534,117.92
535,93.17
536,93.17
537,110.947389631013
538,112.203808007201
539,113.55456770689
540,113.594357086232
541,112.710467785523
542,112.298744607804
543,111.754746361026
544,111.42061688886
545,111.829937629213
546,111.972623901521
547,110.67
548,110.67
549,110.67
550,117.92
551,117.92
552,117.92
553,117.92
554,117.92
555,117.92
556,117.92
557,117.92
558,117.92
559,93.17
560,93.17
561,109.40204701498
562,110.194979203327
563,109.998601651659
564,110.435246256666
565,110.28278222843
566,108.944048346508
567,108.570950411425
568,108.70193163216
569,108.993943475921
570,109.64924552822
571,110.67
572,110.67
573,110.67
574,117.92
575,117.92
576,117.92
577,117.92
578,117.92
579,117.92
580,117.92
581,117.92
582,117.92
583,93.17
584,93.17
585,109.282233867955
586,109.813017680713
587,110.395767962611
588,110.012879488261
589,110.27212036475
590,110.10404403849
591,109.821967856816
592,109.942554219044
593,110.117593515236
594,110.640218492777
595,110.67
596,110.67
597,110.67
598,117.92
599,117.92
600,117.92
601,117.92
602,117.92
603,117.92
604,117.92
605,117.92
606,117.92
607,93.17
608,93.17
609,109.82235193023
610,110.374585468243
611,111.035822391551
612,109.907891682478
613,109.331554953669
614,108.382275930049
615,108.090927969587
616,108.197160598978
617,108.857652562862
618,109.998925895875
619,110.67
620,110.67
621,110.67
622,117.92
623,117.92
624,117.92
625,117.92
626,117.92
627,117.92
628,117.92
629,117.92
630,117.92
631,93.17
632,93.17
633,93.17
634,93.17
635,93.17
636,93.17
637,93.17
638,93.17
639,93.17
640,93.17
641,93.17
642,93.17
643,108.17
644,108.17
645,108.17
646,117.92
647,117.92
648,117.92
649,117.92
650,117.92
651,117.92
652,117.92
653,117.92
654,117.92
655,93.17
656,93.17
657,93.17
658,93.17
659,93.17
660,93.17
661,93.17
662,93.17
663,93.17
664,93.17
665,93.17
666,93.17
667,108.17
668,108.17
669,108.17
670,117.92
671,117.92
672,117.92
673,117.92
674,117.92
675,117.92
676,117.92
677,117.92
678,117.92
679,93.17
680,93.17
681,108.275160278209
682,108.57606241473
683,109.490745626334
684,109.030928068796
685,108.464778045811
686,107.983819069116
687,107.896214446791
688,107.959621242
689,107.916122408757
690,108.737990529377
691,110.67
692,110.67
693,110.67
694,117.92
695,117.92
696,117.92
697,117.92
698,117.92
699,117.92
700,117.92
701,117.92
702,117.92
703,93.17
704,93.17
705,108.265450343674
706,108.556901161019
707,109.538103979248
708,108.72871289802
709,108.263803128578
710,107.906093126327
711,107.808864067547
712,107.893873687786
713,108.196465290131
714,108.628595940792
715,110.67
716,110.67
717,110.67
718,117.92
719,117.92
720,117.92
721,117.92
722,117.92
723,117.92
724,117.92
725,117.92
726,117.92
727,93.17
728,93.17
729,108.528452354903
730,108.893289355881
731,109.669955560112
732,108.455027022324
733,108.098401476048
734,107.478330118112
735,107.139951596703
736,107.635115947965
737,108.074433453845
738,108.815846907887
739,110.67
740,110.67
741,110.67
742,117.92
743,117.92
744,117.92
745,117.92
746,117.92
747,117.92
748,117.92
749,117.92
750,117.92
751,93.17
752,93.17
753,111.512043407545
754,111.911846981813
755,115.378879902174
756,113.8269609552
757,112.811322686401
758,112.10918344547
759,111.817885851016
760,111.71487978327
761,112.331707384053
762,113.075992110102
763,110.67
764,110.67
765,110.67
766,117.92
767,117.92
768,117.92
769,117.92
770,117.92
771,117.92
772,117.92
773,117.92
774,117.92
775,93.17
776,93.17
777,110.405490992279
778,110.65043409116
779,111.460967148708
780,110.408751923576
781,109.460705646383
782,108.605209580106
783,108.119049580395
784,107.802423898313
785,108.385004160497
786,109.553213489045
787,110.67
788,110.67
789,110.67
790,117.92
791,117.92
792,117.92
793,117.92
794,117.92
795,117.92
796,117.92
797,117.92
798,117.92
799,93.17
800,93.17
801,93.17
802,93.17
803,93.17
804,93.17
805,93.17
806,93.17
807,93.17
808,93.17
809,93.17
810,93.17
811,108.17
812,108.17
813,108.17
814,117.92
815,117.92
816,117.92
817,117.92
818,117.92
819,117.92
820,117.92
821,117.92
822,117.92
823,93.17
824,93.17
825,93.17
826,93.17
827,93.17
828,93.17
829,93.17
830,93.17
831,93.17
832,93.17
833,93.17
834,93.17
835,108.17
836,108.17
837,108.17
838,117.92
839,117.92
840,117.92
841,117.92
842,117.92
843,117.92
844,117.92
845,117.92
846,117.92
847,93.17
848,93.17
849,109.189968868863
850,109.888625036822
851,111.406554501524
852,111.06150711677
853,110.655504137536
854,109.613636578495
855,109.86814536121
856,109.976503279499
857,109.968292072964
858,110.061479966465
859,110.67
860,110.67
861,110.67
862,117.92
863,117.92
864,117.92
865,117.92
866,117.92
867,117.92
868,117.92
869,117.92
870,117.92
871,93.17
872,93.17
873,109.69192461413
874,110.722080065278
875,113.189637314692
876,113.149855462019
877,112.672640318596
878,112.187441025291
879,112.040268311862
880,112.078630885354
881,112.086644335233
882,112.195666321912
883,110.67
884,110.67
885,110.67
886,117.92
887,117.92
888,117.92
889,117.92
890,117.92
891,117.92
892,117.92
893,117.92
894,117.92
895,93.17
896,93.17
897,110.957208273835
898,112.408991040697
899,115.82946271201
900,115.886731822766
901,114.944658131136
902,113.207915539728
903,113.387586120733
904,113.624219499356
905,113.653318128916
906,113.680796063271
907,110.67
908,110.67
909,110.67
910,117.92
911,117.92
912,117.92
913,117.92
914,117.92
915,117.92
916,117.92
917,117.92
918,117.92
919,93.17
920,93.17
921,110.720066967835
922,112.739691246959
923,114.043121648186
924,114.07174552148
925,112.814262368713
926,113.025543815419
927,112.601086543988
928,112.029451622818
929,112.373218863505
930,113.050666273277
931,110.67
932,110.67
933,110.67
934,117.92
935,117.92
936,117.92
937,117.92
938,117.92
939,117.92
940,117.92
941,117.92
942,117.92
943,93.17
944,93.17
945,110.015113734676
946,111.156647489152
947,112.408188556112
948,110.583309934072
949,109.380199228109
950,108.826890267952
951,107.822106464956
952,107.497703622162
953,107.706202635237
954,109.364389362965
955,110.67
956,110.67
957,110.67
958,117.92
959,117.92
960,117.92
961,117.92
962,117.92
963,117.92
964,117.92
965,117.92
966,117.92
967,93.17
968,93.17
969,93.17
970,93.17
971,93.17
972,93.17
973,93.17
974,93.17
975,93.17
976,93.17
977,93.17
978,93.17
979,108.17
980,108.17
981,108.17
982,117.92
983,117.92
984,117.92
985,117.92
986,117.92
987,117.92
988,117.92
989,117.92
990,117.92
991,93.17
992,93.17
993,93.17
994,93.17
995,93.17
996,93.17
997,93.17
998,93.17
999,93.17
1000,93.17
1001,93.17
1002,93.17
1003,108.17
1004,108.17
1005,108.17
1006,117.92
1007,117.92
1008,117.92
1009,117.92
1010,117.92
1011,117.92
1012,117.92
1013,117.92
1014,117.92
1015,93.17
1016,93.17
1017,108.359883546493
1018,108.519653893173
1019,109.231265009758
1020,108.626549472058
1021,108.688378169198
1022,107.252104133705
1023,106.972521401447
1024,107.192328974307
1025,107.300518124435
1026,107.902915199754
1027,110.67
1028,110.67
1029,110.67
1030,117.92
1031,117.92
1032,117.92
1033,117.92
1034,117.92
1035,117.92
1036,117.92
1037,117.92
1038,117.92
1039,93.17
1040,93.17
1041,107.934549168326
1042,107.948592013067
1043,107.951781166407
1044,106.965727847739
1045,106.73
1046,106.73
1047,106.799748706834
1048,106.778865503012
1049,106.981738665704
1050,107.234785587994
1051,110.67
1052,110.67
1053,110.67
1054,117.92
1055,117.92
1056,117.92
1057,117.92
1058,117.92
