datetime,SolRad_Hor,SolRad_Dif,Air Temp,zenith,azimuth,DNI,Load (kW),total_irradiance,effective_irradiance,cell_temperature,dc_power_raw_per_panel,temperature_factor,dc_power_output_per_panel,dc_power_output,ac_power_output,E_incident,E_effective,E_dc,E_ac,E_loss_shading_soiling,E_loss_temperature,E_loss_inverter,E_loss_total,weighting_factor,mismatch,weighted_mismatch,E_ac_Wh
2023-02-12 03:00:00+02:00,0.0,0.0,17.2,140.58456923751442,61.82281145897292,0.0,117.92,0.0,0.0,17.2,0.0,1.03432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 04:00:00+02:00,0.0,0.0,17.14,129.56688411654085,75.40721719398357,0.0,117.92,0.0,0.0,17.14,0.0,1.034584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 05:00:00+02:00,0.0,0.0,17.07,117.90410777994317,85.94198234294606,0.0,117.92,0.0,0.0,17.07,0.0,1.034892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 06:00:00+02:00,114.0,51.0,17.02,106.08769936553004,95.14997734927402,0.0,93.17,48.04963623738304,44.68616170076623,18.52155113241822,10.724678808183894,1.0285051750173597,11.030387654616145,9320.677568150642,8947.850465424617,66591.24609202748,61929.85886558555,9320.677568150642,8947.850465424617,4661.387226441926,52609.18129743491,372.82710272602526,57643.395626602854,0.0,-85.75950258541532,0.0,8947.850465424617
2023-02-12 07:00:00+02:00,303.0,88.0,17.04,94.43455720362026,104.046798243556,0.0,93.17,86.393690840353,80.34613248152829,19.73980283876103,19.283071795566787,1.0231448675094514,19.72937593745042,16671.322667145607,16004.469760459782,119731.6770334372,111350.45964109658,16671.322667145607,16004.469760459782,8381.217392340623,94679.13697395097,666.8529066858246,103727.20727297742,0.0,-77.99340911505816,0.0,16004.469760459782
2023-02-12 08:00:00+02:00,470.0,107.0,17.07,83.11042482720211,113.37930726083084,414.30796719420124,108.359883546493,588.8613601373754,547.6410649277591,35.47191750429298,131.43385558266218,0.9539235629811109,125.37785181375789,105944.28478262541,101706.51339132039,816093.8316633063,758967.2634468749,105944.28478262541,101706.51339132039,57126.56821643142,653022.9786642495,4237.771391305025,714387.318271986,0.4516422806437402,-90.5204096252645,40.88284424796003,101706.51339132039
2023-02-12 09:00:00+02:00,591.0,122.0,17.04,72.79735121494804,123.83682303654905,666.3073550902143,108.519653893173,819.1934954902688,761.8499508059499,42.6397967340709,182.84398819342798,0.9223848943700881,168.6525327360007,142511.3901619206,136810.93455544376,1135307.5679007834,1055836.0381477284,142511.3901619206,136810.93455544376,79471.52975305496,913324.6479858079,5700.45560647684,998496.6333453397,0.45639274785653583,-88.95537620533852,40.59858858296635,136810.93455544376
2023-02-12 10:00:00+02:00,649.0,139.0,16.95,63.74046267364727,136.1222043283655,771.8718907790005,109.231265009758,940.9570382915374,875.0900456111298,46.35490744661054,210.02161094667113,0.9060384072349136,190.2876458670326,160793.06075764255,154361.33832733685,1304057.7745341482,1212773.7303167577,160793.06075764255,154361.33832733685,91284.04421739047,1051980.669559115,6431.722430305701,1149696.4362068113,0.4775511501999226,-88.48022133939791,42.25383147057321,154361.33832733685
2023-02-12 11:00:00+02:00,651.0,140.0,16.82,56.6840154345799,150.8276081237313,958.5830262091297,108.626549472058,1083.8672744905373,1007.9965652761996,50.69085232782929,241.9191756662879,0.8869602497575511,214.5726924701116,181313.9251372443,174061.36813175454,1502114.8557736808,1396966.8158695232,181313.9251372443,174061.36813175454,105148.03990415763,1215652.8907322788,7252.557005489769,1328053.4876419264,0.45957108447054507,-89.4759011367903,41.12053691941399,174061.36813175454
2023-02-12 12:00:00+02:00,566.0,168.0,16.57,52.49669945777859,167.9748253541146,666.014291420576,108.688378169198,755.0189893438228,702.1676600897551,40.16434341699446,168.52023842154122,0.9332768889652243,157.27604384173387,132898.25704626512,127582.32676441451,1046369.1145372691,973123.2765196601,132898.25704626512,127582.32676441451,73245.83801760897,840225.0194733951,5315.930281850611,918786.7877728546,0.46140944311892246,-87.45106848505156,40.35074880984239,127582.32676441451
