tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
0.00;99.55;100467.61;208859.95
0.00;101.92;100467.61;208859.95
0.00;107.50;100467.61;208859.95
0.00;210.16;100467.61;208859.95
0.00;191.62;100467.61;208859.95
0.00;225.83;100467.61;208859.95
0.00;140.44;100467.61;208859.95
0.00;138.72;100467.61;208859.95
0.00;141.76;100467.61;208859.95
0.00;130.59;100467.61;208859.95
0.00;114.02;100467.61;208859.95
0.00;109.96;100467.61;208859.95
0.00;199.39;100467.61;208859.95
0.00;129.66;100467.61;208859.95
0.00;173.24;100467.61;208859.95
0.00;228.06;100467.61;208859.95
0.00;160.18;100467.61;208859.95
0.00;227.40;100467.61;208859.95
0.00;163.63;100467.61;208859.95
0.00;178.85;100467.61;208859.95
0.00;195.79;100467.61;208859.95
0.00;227.81;100467.61;208859.95
0.00;234.69;100467.61;208859.95
0.00;185.57;100467.61;208859.95
0.00;207.37;100467.61;208859.95
0.00;142.07;100467.61;208859.95
0.00;206.15;100467.61;208859.95
0.00;219.07;100467.61;208859.95
0.00;264.10;100467.61;208859.95
0.00;101.63;100467.61;208859.95
0.00;196.68;100467.61;208859.95
0.00;183.42;100467.61;208859.95
0.00;147.18;100467.61;208859.95
0.00;252.35;100467.61;208859.95
0.00;213.30;100467.61;208859.95
0.00;195.41;100467.61;208859.95
0.00;160.22;100467.61;208859.95
0.00;156.76;100467.61;208859.95
0.00;266.68;100467.61;208859.95
0.00;197.60;100467.61;208859.95
0.00;108.37;100467.61;208859.95
0.00;242.34;100467.61;208859.95
0.00;212.96;100467.61;208859.95
0.00;254.50;100467.61;208859.95
0.00;242.20;100467.61;208859.95
0.00;217.09;100467.61;208859.95
0.00;212.01;100467.61;208859.95
0.00;129.65;100467.61;208859.95
0.00;240.79;100467.61;208859.95
0.00;148.85;100467.61;208859.95
0.00;179.55;100467.61;208859.95
0.00;134.97;100467.61;208859.95
0.00;102.80;100467.61;208859.95
0.00;248.11;100467.61;208859.95
0.00;111.02;100467.61;208859.95
0.00;178.05;100467.61;208859.95
0.00;142.29;100467.61;208859.95
0.00;262.13;100467.61;208859.95
0.00;98.96;100467.61;208859.95
0.00;161.57;100467.61;208859.95
0.00;176.15;100467.61;208859.95
0.00;237.68;100467.61;208859.95
0.00;164.82;100467.61;208859.95
0.00;207.84;100467.61;208859.95
0.00;162.79;100467.61;208859.95
0.00;194.41;100467.61;208859.95
0.00;144.94;100467.61;208859.95
0.00;160.75;100467.61;208859.95
0.00;162.07;100467.61;208859.95
0.00;180.77;100467.61;208859.95
0.00;248.00;100467.61;208859.95
0.00;141.89;100467.61;208859.95
0.00;250.11;100467.61;208859.95
0.00;252.29;100467.61;208859.95
0.00;252.30;100467.61;208859.95
0.00;183.68;100467.61;208859.95
0.00;259.09;100467.61;208859.95
0.00;213.20;100467.61;208859.95
0.00;159.98;100467.61;208859.95
0.00;119.84;100467.61;208859.95
0.00;165.45;100467.61;208859.95
0.00;149.87;100467.61;208859.95
0.00;241.78;100467.61;208859.95
0.00;131.19;100467.61;208859.95
0.00;118.15;100467.61;208859.95
0.00;201.57;100467.61;208859.95
0.00;100.21;100467.61;208859.95
0.00;94.01;100467.61;208859.95
0.00;231.50;100467.61;208859.95
0.00;260.30;100467.61;208859.95
0.00;115.39;100467.61;208859.95
0.00;246.58;100467.61;208859.95
0.00;241.94;100467.61;208859.95
0.00;205.97;100467.61;208859.95
0.00;179.85;100467.61;208859.95
0.00;115.38;100467.61;208859.95
0.00;213.44;100467.61;208859.95
0.00;140.78;100467.61;208859.95
0.00;90.19;100467.61;208859.95
0.00;183.91;100467.61;208859.95
0.00;125.25;100467.61;208859.95
0.00;139.27;100467.61;208859.95
0.00;169.26;100467.61;208859.95
0.00;182.41;100467.61;208859.95
0.00;222.62;100467.61;208859.95
0.00;181.39;100467.61;208859.95
0.00;180.31;100467.61;208859.95
0.00;237.04;100467.61;208859.95
0.00;107.44;100467.61;208859.95
0.00;261.34;100467.61;208859.95
0.00;194.52;100467.61;208859.95
0.00;225.02;100467.61;208859.95
0.00;188.48;100467.61;208859.95
0.00;123.39;100467.61;208859.95
0.00;157.91;100467.61;208859.95
0.00;107.79;100467.61;208859.95
0.00;121.18;100467.61;208859.95
0.00;251.42;100467.61;208859.95
0.00;195.35;100467.61;208859.95
0.00;194.64;100467.61;208859.95
0.00;105.43;100467.61;208859.95
0.00;135.53;100467.61;208859.95
0.00;150.69;100467.61;208859.95
0.00;191.78;100467.61;208859.95
0.00;119.88;100467.61;208859.95
0.00;230.41;100467.61;208859.95
0.00;101.12;100467.61;208859.95
0.00;114.89;100467.61;208859.95
0.00;127.58;100467.61;208859.95
0.00;214.50;100467.61;208859.95
0.00;122.31;100467.61;208859.95
0.00;118.32;100467.61;208859.95
0.00;199.31;100467.61;208859.95
0.00;197.74;100467.61;208859.95
0.00;166.55;100467.61;208859.95
0.00;200.56;100467.61;208859.95
0.00;96.30;100467.61;208859.95
0.00;111.64;100467.61;208859.95
0.00;103.20;100467.61;208859.95
0.00;213.59;100467.61;208859.95
0.00;166.83;100467.61;208859.95
0.00;206.76;100467.61;208859.95
0.00;230.47;100467.61;208859.95
0.00;136.73;100467.61;208859.95
0.00;208.70;100467.61;208859.95
0.00;261.22;100467.61;208859.95
0.00;197.95;100467.61;208859.95
0.00;151.15;100467.61;208859.95
0.00;93.77;100467.61;208859.95
0.00;185.41;100467.61;208859.95
0.00;211.74;100467.61;208859.95
0.00;126.43;100467.61;208859.95
0.00;161.88;100467.61;208859.95
0.00;263.60;100467.61;208859.95
0.00;150.26;100467.61;208859.95
0.00;167.76;100467.61;208859.95
0.00;179.34;100467.61;208859.95
0.00;262.36;100467.61;208859.95
0.00;197.25;100467.61;208859.95
0.00;198.61;100467.61;208859.95
0.00;256.82;100467.61;208859.95
0.00;265.88;100467.61;208859.95
0.00;224.78;100467.61;208859.95
0.00;130.45;100467.61;208859.95
0.00;211.40;100467.61;208859.95
0.00;96.70;100467.61;208859.95
0.00;94.23;100467.61;208859.95
0.00;118.91;100467.61;208859.95
0.00;227.20;100467.61;208859.95
0.00;246.04;100467.61;208859.95
0.00;222.36;100467.61;208859.95
0.00;146.55;100467.61;208859.95
0.00;186.97;100467.61;208859.95
0.00;201.29;100467.61;208859.95
0.00;141.52;100467.61;208859.95
0.00;163.44;100467.61;208859.95
0.00;102.89;100467.61;208859.95
0.00;246.44;100467.61;208859.95
0.00;198.41;100467.61;208859.95
0.00;100.53;100467.61;208859.95
0.00;115.92;100467.61;208859.95
0.00;176.56;100467.61;208859.95
0.00;202.01;100467.61;208859.95
0.00;191.94;100467.61;208859.95
0.00;268.89;100467.61;208859.95
0.00;103.98;100467.61;208859.95
0.00;186.40;100467.61;208859.95
0.00;187.73;100467.61;208859.95
