tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
30.62;123.02;99975.35;279424.97
31.08;125.91;99975.66;279472.43
30.96;125.18;99976.64;279477.57
30.74;123.66;99981.20;279478.89
31.29;126.84;99985.14;279515.96
30.85;123.69;100008.18;279626.51
31.09;125.07;100013.43;279675.23
31.66;128.01;100019.69;279677.93
30.97;124.09;100023.89;279721.23
30.91;123.59;100028.72;279735.32
30.84;122.84;100039.17;279768.36
30.99;123.79;100041.11;279807.55
31.48;126.41;100053.72;279887.53
31.15;124.47;100055.10;279895.61
31.19;124.57;100059.95;279922.34
31.92;128.22;100073.00;279950.14
30.98;122.80;100075.02;279961.74
31.70;126.89;100085.17;280045.63
31.75;127.07;100088.18;280058.24
31.79;126.91;100106.22;280155.84
31.85;127.18;100108.23;280160.85
31.43;124.82;100111.67;280196.45
31.71;126.13;100124.90;280263.83
31.88;126.95;100128.41;280271.35
31.62;125.53;100130.50;280296.30
31.45;124.47;100131.55;280298.73
31.33;123.64;100134.14;280301.97
32.05;127.58;100137.99;280304.98
31.55;124.82;100143.17;280361.53
31.93;126.59;100157.77;280429.76
31.52;124.09;100163.46;280462.60
31.92;126.40;100165.96;280475.06
31.43;123.39;100168.73;280477.41
31.52;123.68;100180.14;280543.47
32.12;127.05;100183.05;280551.07
31.76;125.02;100186.35;280587.86
32.18;126.99;100201.80;280648.06
31.82;125.00;100203.13;280674.67
32.53;128.34;100219.55;280688.21
32.52;128.26;100221.57;280701.28
32.34;127.30;100226.99;280765.56
31.58;122.52;100240.61;280824.02
32.05;125.06;100261.09;280969.89
32.35;126.50;100268.25;280995.25
32.08;124.95;100273.44;281032.15
32.45;126.65;100287.84;281089.70
32.59;127.03;100303.95;281158.74
32.00;123.60;100308.45;281199.84
31.75;121.39;100329.09;281218.63
31.95;122.65;100333.98;281302.98
32.65;126.42;100348.72;281398.35
32.78;126.99;100354.04;281406.77
32.79;127.00;100356.53;281418.57
32.04;122.47;100363.70;281443.85
32.27;123.77;100371.55;281519.10
32.79;126.55;100378.98;281543.40
32.54;125.07;100384.40;281592.71
32.60;125.28;100390.88;281624.78
32.57;125.10;100392.80;281634.90
32.56;124.70;100408.16;281710.86
32.70;125.30;100414.43;281741.48
32.62;124.85;100414.80;281745.04
32.69;125.23;100416.58;281752.73
32.78;125.42;100429.87;281816.53
32.70;124.66;100444.29;281891.09
33.13;126.68;100460.47;281935.15
33.03;126.14;100460.80;281953.63
32.85;125.01;100467.57;282005.84
32.74;124.03;100482.79;282077.59
33.06;125.63;100492.23;282117.55
32.53;122.29;100501.70;282120.65
32.47;121.65;100509.84;282130.90
33.00;124.70;100518.86;282257.10
33.29;126.03;100532.24;282299.41
33.26;125.81;100536.05;282324.14
32.77;122.72;100546.94;282358.36
33.14;124.82;100549.73;282406.14
33.24;125.29;100554.93;282425.20
32.78;121.89;100583.06;282498.91
33.47;125.84;100588.46;282572.13
32.91;122.30;100599.34;282596.23
33.42;125.34;100599.51;282636.33
33.47;125.54;100601.34;282641.03
33.52;125.52;100615.93;282710.57
33.13;123.14;100623.47;282739.57
33.67;125.89;100636.58;282795.31
33.81;126.23;100656.46;282874.48
33.50;124.33;100666.54;282960.79
33.83;126.00;100674.08;282963.88
33.17;121.92;100684.24;282980.72
33.67;124.80;100689.36;283063.88
33.34;122.34;100712.13;283131.09
33.78;124.93;100713.35;283170.70
33.52;123.35;100716.67;283179.28
33.38;121.90;100743.57;283254.63
34.30;126.78;100757.22;283304.99
33.94;124.82;100760.98;283386.64
33.90;124.41;100768.51;283423.51
34.09;124.49;100816.17;283635.42
34.47;126.29;100828.03;283641.18
33.72;121.93;100834.26;283667.51
34.12;124.23;100838.47;283736.37
34.20;124.56;100842.83;283752.73
34.09;123.78;100850.23;283787.50
34.29;124.75;100858.77;283821.18
34.07;123.45;100860.00;283827.89
34.26;124.34;100868.90;283869.98
34.11;123.42;100871.49;283878.49
34.36;124.72;100878.30;283907.69
34.14;123.46;100878.31;283909.20
34.27;124.10;100882.94;283933.94
34.72;125.92;100911.86;284023.28
34.86;126.39;100922.73;284052.44
34.56;124.86;100923.96;284104.43
34.62;124.96;100934.35;284147.44
34.89;126.12;100945.49;284162.32
34.37;123.09;100956.01;284244.70
35.01;126.06;100978.95;284309.08
35.08;126.22;100989.55;284348.23
34.26;121.54;100996.44;284370.00
34.73;124.00;101010.21;284487.25
34.69;123.57;101019.90;284527.93
34.64;122.95;101036.72;284589.85
34.57;122.23;101049.37;284625.68
34.91;123.91;101064.74;284719.55
35.04;124.45;101071.22;284743.16
35.24;125.22;101086.45;284790.88
35.26;125.19;101093.21;284819.94
34.82;122.49;101106.98;284878.64
35.03;123.68;101107.68;284900.07
35.28;124.54;101131.94;284996.98
35.53;125.63;101139.97;285001.84
34.82;121.43;101155.50;285042.78
35.23;123.65;101163.38;285132.12
34.98;122.04;101171.37;285135.95
35.72;125.75;101184.06;285180.61
35.77;125.63;101202.96;285262.39
35.36;123.50;101206.41;285310.01
35.43;123.79;101209.17;285321.92
35.31;122.92;101219.82;285359.89
35.84;125.50;101230.19;285378.59
35.09;120.89;101252.00;285413.70
35.72;124.25;101263.73;285543.23
35.72;124.21;101265.79;285552.01
35.47;122.48;101284.94;285618.10
36.23;126.11;101298.02;285629.07
36.11;125.50;101300.44;285663.68
35.75;123.53;101309.63;285732.86
35.97;124.10;101339.68;285851.72
36.35;125.53;101360.69;285904.85
36.20;124.50;101378.13;285999.70
36.31;124.87;101388.38;286033.68
36.04;123.49;101388.59;286050.43
35.78;121.87;101398.15;286053.90
36.33;124.63;101406.31;286108.75
36.60;125.59;101422.77;286148.90
35.76;121.01;101432.62;286151.17
36.22;123.21;101450.18;286292.95
36.23;123.05;101461.67;286335.70
36.38;123.85;101462.96;286342.51
36.28;123.15;101470.74;286372.02
36.06;121.61;101486.73;286392.47
36.65;124.59;101495.30;286457.82
37.25;126.73;101523.98;286484.30
37.18;126.42;101524.05;286502.11
