azimuth_angle;tilt_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
90.00;23.29;131985.85;260932.67
90.00;23.29;131986.02;260933.63
90.00;23.36;132006.30;261048.59
90.00;23.36;132006.65;261050.55
90.00;23.37;132009.45;261066.39
90.00;23.41;132021.16;261132.28
90.00;23.42;132022.58;261140.20
90.00;23.45;132032.82;261197.39
90.00;23.46;132034.72;261207.95
90.00;23.48;132040.12;261237.94
90.00;23.51;132048.95;261287.01
90.00;23.53;132053.84;261314.18
90.00;23.53;132054.50;261317.85
90.00;23.53;132054.93;261320.23
90.00;23.53;132055.35;261322.58
90.00;23.53;132055.55;261323.66
90.00;23.54;132056.07;261326.56
90.00;23.55;132058.78;261341.60
90.00;23.55;132060.44;261350.79
90.00;23.55;132061.26;261355.37
90.00;23.56;132062.40;261361.67
90.00;23.56;132063.39;261367.10
90.00;23.57;132064.82;261375.06
90.00;23.58;132067.83;261391.64
90.00;23.58;132068.19;261393.63
90.00;23.58;132068.91;261397.64
90.00;23.58;132069.38;261400.25
90.00;23.59;132072.30;261416.34
90.00;23.60;132073.26;261421.61
90.00;23.60;132073.69;261423.98
90.00;23.60;132074.02;261425.77
90.00;23.60;132074.28;261427.19
90.00;23.62;132080.38;261460.22
90.00;23.62;132081.07;261463.93
90.00;23.63;132081.95;261468.69
90.00;23.63;132083.11;261474.97
90.00;23.63;132083.38;261476.44
90.00;23.66;132090.44;261514.39
90.00;23.66;132090.96;261517.18
90.00;23.67;132094.11;261534.10
90.00;23.68;132097.10;261550.21
90.00;23.71;132106.38;261600.04
90.00;23.73;132110.68;261623.19
90.00;23.74;132115.36;261648.26
90.00;23.75;132116.86;261656.27
90.00;23.75;132118.60;261665.58
90.00;23.76;132121.52;261681.19
90.00;23.79;132129.21;261722.27
90.00;23.79;132129.92;261726.10
90.00;23.79;132131.00;261731.88
90.00;23.80;132131.71;261735.63
90.00;23.83;132142.65;261794.07
90.00;23.84;132143.38;261797.92
90.00;23.89;132158.18;261876.64
90.00;23.91;132164.95;261912.57
90.00;23.92;132166.37;261920.12
90.00;23.95;132174.93;261965.45
90.00;23.95;132175.42;261968.06
90.00;23.96;132179.29;261988.59
90.00;23.97;132180.65;261995.77
90.00;23.99;132186.86;262028.68
90.00;24.00;132191.58;262053.68
90.00;24.00;132191.83;262054.99
90.00;24.04;132201.35;262105.38
90.00;24.06;132209.43;262148.16
90.00;24.07;132212.18;262162.69
90.00;24.08;132214.94;262177.25
90.00;24.09;132216.39;262184.89
90.00;24.10;132219.25;262199.92
90.00;24.10;132219.37;262200.52
90.00;24.14;132232.14;262267.40
90.00;24.17;132239.64;262306.60
90.00;24.17;132240.07;262308.82
90.00;24.18;132242.40;262321.02
90.00;24.18;132243.79;262328.24
90.00;24.18;132244.85;262333.80
90.00;24.21;132253.72;262380.07
90.00;24.22;132254.24;262382.75
90.00;24.23;132258.23;262403.55
90.00;24.26;132265.77;262442.65
90.00;24.28;132271.95;262474.65
90.00;24.28;132274.07;262485.62
90.00;24.31;132280.34;262518.14
90.00;24.33;132286.52;262550.09
90.00;24.33;132286.83;262551.73
90.00;24.33;132287.74;262556.39
90.00;24.35;132293.67;262587.06
90.00;24.35;132294.15;262589.55
90.00;24.36;132295.36;262595.76
90.00;24.36;132297.18;262605.16
90.00;24.37;132299.62;262617.78
90.00;24.39;132305.07;262645.82
90.00;24.41;132310.50;262673.60
90.00;24.41;132311.52;262678.81
90.00;24.42;132313.63;262689.61
90.00;24.43;132316.34;262703.49
90.00;24.44;132320.64;262725.51
90.00;24.45;132322.79;262736.49
90.00;24.46;132326.37;262754.80
90.00;24.47;132330.12;262773.99
90.00;24.52;132345.12;262850.62
90.00;24.53;132346.26;262856.43
90.00;24.54;132348.55;262868.12
90.00;24.54;132349.20;262871.45
90.00;24.54;132350.83;262879.77
90.00;24.57;132357.96;262916.14
90.00;24.59;132363.60;262944.87
90.00;24.59;132365.73;262955.77
90.00;24.61;132369.46;262974.74
90.00;24.61;132369.60;262975.42
90.00;24.62;132373.20;262993.60
90.00;24.62;132373.65;262995.86
90.00;24.62;132374.74;263001.34
90.00;24.66;132385.23;263054.01
90.00;24.67;132387.53;263065.58
90.00;24.67;132388.90;263072.43
90.00;24.70;132398.82;263122.10
90.00;24.71;132400.89;263132.48
90.00;24.71;132401.02;263133.15
90.00;24.72;132403.13;263143.69
90.00;24.74;132410.01;263178.14
90.00;24.77;132420.01;263227.99
90.00;24.79;132423.26;263244.14
90.00;24.80;132426.69;263261.12
90.00;24.81;132429.68;263275.98
90.00;24.84;132438.33;263318.92
90.00;24.84;132439.37;263324.07
90.00;24.84;132440.07;263327.51
90.00;24.84;132440.50;263329.66
90.00;24.88;132450.80;263380.75
90.00;24.88;132451.53;263384.33
90.00;24.89;132455.18;263402.34
90.00;24.92;132463.51;263443.34
90.00;24.92;132464.85;263449.91
90.00;24.96;132476.29;263506.03
90.00;24.98;132483.68;263542.21
90.00;24.99;132485.97;263553.38
90.00;25.01;132491.07;263578.38
90.00;25.01;132492.60;263585.86
90.00;25.04;132499.13;263617.82
90.00;25.08;132512.74;263684.39
90.00;25.08;132513.51;263688.13
90.00;25.09;132516.41;263702.35
90.00;25.09;132516.48;263702.69
90.00;25.10;132519.53;263717.56
90.00;25.20;132547.81;263855.37
90.00;25.27;132570.11;263963.69
90.00;25.30;132578.17;264002.62
90.00;25.32;132584.25;264031.98
90.00;25.34;132590.38;264061.60
90.00;25.36;132596.54;264091.31
90.00;25.37;132600.63;264111.06
90.00;25.39;132607.91;264146.10
90.00;25.41;132612.02;264165.85
90.00;25.41;132612.42;264167.75
90.00;25.45;132624.98;264227.93
90.00;25.45;132625.57;264230.74
90.00;25.46;132626.83;264236.79
90.00;25.48;132632.57;264264.13
90.00;25.48;132634.18;264271.77
90.00;25.49;132635.81;264279.50
90.00;25.49;132636.68;264283.66
90.00;25.50;132638.86;264294.01
90.00;25.52;132646.82;264331.87
90.00;25.53;132648.07;264337.81
90.00;25.55;132654.14;264366.51
90.00;25.56;132657.44;264382.16
90.00;25.57;132660.94;264398.70
90.00;25.59;132666.28;264423.97
90.00;25.66;132689.28;264532.67
90.00;25.67;132691.42;264542.80
90.00;25.67;132692.95;264550.00
90.00;25.69;132698.26;264575.07
90.00;25.70;132700.90;264587.55
90.00;25.71;132704.05;264602.38
90.00;25.72;132706.67;264614.74
90.00;25.72;132707.60;264619.12
90.00;25.73;132710.37;264632.17
90.00;25.73;132710.60;264633.27
90.00;25.73;132710.82;264634.29
90.00;25.73;132711.11;264635.69
90.00;25.74;132713.02;264644.70
90.00;25.74;132714.82;264653.17
90.00;25.76;132718.99;264672.80
90.00;25.78;132725.45;264703.05
90.00;25.78;132726.72;264708.96
90.00;25.79;132730.26;264725.48
90.00;25.81;132734.12;264743.30
90.00;25.81;132736.57;264754.54
90.00;25.82;132738.43;264763.10
90.00;25.82;132739.50;264768.04
90.00;25.83;132740.65;264773.27
90.00;25.84;132743.45;264786.10
90.00;25.87;132753.21;264830.59
90.00;25.89;132761.29;264867.36
90.00;25.91;132766.91;264892.88
90.00;25.95;132779.78;264951.21
90.00;25.96;132782.63;264964.13
90.00;25.96;132783.68;264968.87
90.00;25.99;132790.64;265000.38
90.00;25.99;132790.73;265000.78
90.00;26.03;132805.25;265066.36
